City,Location_Cluster_ID,Representative_Latitude,Representative_Longitude,Record_Count,Company_Count,Companies,Addresses,Locations,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Review_Required
barcelona,BAR_LOC_000001,41.3790044798589,2.16861812612738,1,1,InPost,"Rambla del Raval, 6",Mobil Mania,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000002,41.3796468300729,2.16641823962006,1,1,InPost,"Carrer de l'Hospital, 157",Impremta Sebtor,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000003,41.3791209927713,2.1701597962911148,2,2,Amazon | InPost,"C. de San Rafael, 15",Amazon Lockers - Busca | Lockers 24/7 Saba Illa Raval Bar,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",7.7,1,High,False
barcelona,BAR_LOC_000004,41.38485425971297,2.1684079742224966,3,3,Amazon | InPost | SEUR,"Carrer de les Ramelleres, 21",Copisteria Geografia Ub | Seur - Copisteria Geografia Ub,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",66.97,3,Review,True
barcelona,BAR_LOC_000005,41.38117148934723,2.167522958312523,3,2,Amazon | InPost,"C. de Joaquín Costa, 2",Amazon Counter - Copywork | Amazon Counter - Tech Plus | Copywork,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",2.83,1,High,False
barcelona,BAR_LOC_000006,41.3787205282092,2.17342318194849,1,1,InPost,"Carrer Nou de la Rambla, 22",Madiha Fashion,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000007,41.38516714845175,2.16414443872765,2,2,Dhl | InPost,"Rda. de Sant Antoni, 100",Estanco 080139 | Kiosco De Prensa,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",9.51,1,High,False
barcelona,BAR_LOC_000008,41.3860884118811,2.16653153962034,1,1,InPost,"Carrer de Pelai, 9",Copypelai,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000009,41.3850905660604,2.16788653962031,1,1,InPost,"Carrer de Jovellanos, 1",Phonix The Smart Point,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000010,41.3823675974989,2.163888677262555,2,2,InPost | SEUR,"Carrer del Tigre, 33",Fiber Sonic | Mobile House,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",5.48,1,High,False
barcelona,BAR_LOC_000011,41.3807051756484,2.17844139729165,1,1,InPost,"Carrer d'Avinyó, 29",Taha Mobile Shop,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000012,41.3781916324103,2.17809735496309,1,1,InPost,"Carrer de Josep Anselm Clavé, 27",Te Habla Mobile Mobile,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000013,41.3858130621934,2.17457318379919,1,1,InPost,"Carrer de Duran i Bas, 11",Libreria Balmes,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000014,41.3844962299057,2.181983845267745,2,2,InPost | Mail Boxes Etc,"C/ de los Sombrereros, 25 | Placeta de Montcada, 6",Estanc Bcn 159 | MBE 0258,False,True,False,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",12.18,1,High,False
barcelona,BAR_LOC_000015,41.38015096817119,2.189085193353592,4,4,InPost | Pudo | SEUR | UPS,"Carrer del Baluard, 27 | Carrer del Baluard, 27S | Carrer del Baluard, 36",Lockers 24/7 Saba Barceloneta Ba | Mail Boxes Etc 0341 | Saba Barceloneta | Seur Lockers Saba Barcelon,True,False,True,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",61.72,3,Review,True
barcelona,BAR_LOC_000016,41.3783793814063,2.18931782427689,1,1,InPost,Carrer De Pepe Rubianes 12,Punto Y Coma,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000017,41.382051022256,2.18890386845596,1,1,InPost,"Carrer de la Mediterrània, 4",Instalaciones De La Fuente,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000018,41.3802820275397,2.18994731078431,1,1,InPost,"Carrer d'Andrea Dòria, 8",Estanc La Barceloneta,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
barcelona,BAR_LOC_000019,41.3889628780528,2.179376677354615,2,2,Ctt Express | InPost,"Carrer de Sant Pere Més Baix, 92",Mega Mobile,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",23.22,2,Medium,False
barcelona,BAR_LOC_000020,41.389658003498496,2.1784459328741246,2,1,InPost,"Carrer de Méndez Núñez, 4 | Carrer de Sant Pere Més Alt, 76",La Casa De Les Sabatilles | Mamy Blu,False,False,False,False,False,False,True,False,5,Convenience Store only,2,"Same company, multiple records",8.07,1,High,False
barcelona,BAR_LOC_000021,41.38580640127893,2.177185654251785,4,4,InPost | Pudo | SEUR | UPS,"Av. de Francesc Cambó, 10",Lockers 24/7 Parking Bamsa Franc | P Taquilla Saba Francesc Cambo | Saba Francesc Cambo | Seur Lockers Saba Francesc,True,False,True,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",59.75,3,Review,True
barcelona,BAR_LOC_000022,41.3744797019124,2.16132965990686,2,2,Amazon | InPost,"Carrer de Radas, 9",Amazon Counter - Central De Envios | Envios Radas 25 Sl,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",4.47,1,High,False
